	github_urls	forks	useful_forks	transitive_forks
558	iwyoo/temporalregularitydetector-tensorflow	7	0	0
559	ildoonet/tf-mobilenet-v2	20	0	0
560	harry19902002/image-style-transfor	66	1	1
561	dthiagarajan/grozi_tf	6	0	0
562	fps7806/graph-cnn	11	1	0
563	alexander-rakhlin/iciar2018	37	0	0
564	mercileesb/delf_tensorflow	2	0	0
565	dengdan/seglink	156	4	2
566	iamaaditya/image-compression-cnn	49	1	1
567	ap229997/deeplab_tensorflow	0	0	0
568	blouargant/deep_painting	0	0	0
569	kim-skyline0205/monodepth	0	0	0
570	loliverhennigh/steady-state-flow-with-neural-nets	34	1	0
571	peace195/sppnet	28	0	0
572	colincsl/temporalconvolutionalnetworks	55	1	0
573	iwbn/age-estimation-ranking-tensorflow	1	0	0
574	dengdan/tf-pvanet	8	1	1
575	robbertbrand/yolo-tensorflow-implementation	0	0	0
576	paengs/netreform	3	1	0
577	deepsegment/fcn-googlenet	26	1	0
578	crestonbunch/tbcnn	24	3	1
579	learningtitans/isbi2017-part3	20	1	0
580	ruishu/fast-style-transfer	0	0	0
581	xjtuwyd/dorefa_cifar10	2	0	0
582	bayeswatch/tf-variational-dropout	7	1	0
583	panji1990/deep-subspace-clustering-networks	55	5	0
584	shafeentejani/fast-style-transfer	33	4	6
585	yuanming-hu/exposure	78	2	2
586	katsugeneration/tensor-fsmn	25	2	1
587	taogelose/my_yolo_tensorflow	1	0	0
588	gitbosun/roomnet	12	3	0
589	tonypeng/tensorstyle	1	0	0
590	lucasb-eyer/nonlocal-tf	12	0	0
591	hillox/tfmaskrcnn	9	0	0
